,AIEQ,GURU,FLOT,BNDX,VCIT,MUB,MINT,VTIP,JNK,GBIL,AGG,SCHD,VB,IJH,SPLV,IUSG,IUSV,SPYG,SPYV,VOE,VOT,VTI,IVV,GNR,GLTR,AOR,AOK,AOM,GXC,VGK,IEFA,SPDW,VPU,XRT,MILN,VFH,PEJ,XLV,IYT,VNQ,ITA,CRBN,SHE,ICLN,PHO,MJ,VGT,ROBO,CIBR,XLY,SPTS,IGLB,ISTB,IUSB,VO,AOA,VT,XBI,SCHH,SUSA,FDN,BLOK,IGSB,VGIT,MGC,VWO,XHB,XLY,VOX,SPTL,VPL,SKYY,SOCL,BLV,GAMR,EFAV,SCHP
2015-05-22 00:00:00,nan,26.7,46.49,46.89,73.15,96.37,92.35,45.64,88.62,nan,96.48,34.5,114.23,142.19,33.83,38.88,40.86,23.55,22.64,83.49,104.76,100.16,193.0,39.37,62.45,36.28,29.14,31.61,89.15,49.0,53.71,26.06,82.49,46.06,nan,45.4,35.54,68.83,143.18,64.77,116.51,91.45,nan,10.9,25.41,nan,103.94,26.5,nan,71.59,28.0,48.22,45.11,44.48,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3
2015-05-26 00:00:00,nan,26.44,46.48,47.02,73.42,96.51,92.35,45.58,88.49,nan,96.71,34.2,113.11,140.62,33.52,38.44,40.48,23.28,22.33,82.58,103.73,99.12,190.9,38.69,61.63,36.0,29.09,31.54,89.45,47.96,52.73,25.64,81.9,45.55,nan,45.0,35.08,68.13,140.98,64.27,115.15,90.13,nan,10.82,25.13,nan,102.5,26.24,nan,71.07,28.07,48.56,45.08,44.61,50.36,50.36,50.36,50.36,50.36,50.36,50.36,50.36,50.36,50.36,50.36,50.36,50.36,50.36,50.36,50.36,50.36,50.36,50.36,50.36,50.36,50.36,50.36
2015-05-27 00:00:00,nan,26.68,46.47,47.04,73.44,96.58,92.34,45.52,88.71,nan,96.81,34.44,114.16,141.89,33.8,38.81,40.79,23.55,22.55,83.17,104.62,100.02,192.73,38.82,61.51,36.22,29.17,31.67,89.43,48.61,53.29,25.84,82.28,45.78,nan,45.4,35.63,68.92,142.68,64.91,115.74,90.63,nan,10.89,25.36,nan,104.25,26.53,nan,71.6,28.03,48.76,45.12,44.63,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32
2015-05-28 00:00:00,nan,26.68,46.47,47.06,73.47,96.57,92.38,45.52,88.62,nan,96.78,34.41,114.04,141.59,33.76,38.75,40.78,23.51,22.51,83.04,104.26,99.93,192.48,38.67,61.55,36.14,29.13,31.6,86.53,48.57,53.11,25.81,82.54,45.82,nan,45.38,35.51,68.97,141.35,64.78,115.51,90.79,nan,10.61,25.31,nan,104.19,26.5,nan,71.48,28.04,48.55,45.13,44.6,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3
2015-05-29 00:00:00,nan,26.54,46.47,47.16,73.48,96.71,92.39,45.62,88.71,nan,96.81,34.26,113.33,140.67,33.52,38.48,40.66,23.36,22.43,82.68,103.47,99.26,191.31,38.43,61.55,35.98,29.07,31.52,85.36,48.05,52.63,25.57,82.38,45.38,nan,44.98,35.49,68.79,140.3,64.03,114.56,90.15,nan,10.72,25.08,nan,103.47,26.3,nan,70.99,28.11,48.61,45.15,44.71,50.42,50.42,50.42,50.42,50.42,50.42,50.42,50.42,50.42,50.42,50.42,50.42,50.42,50.42,50.42,50.42,50.42,50.42,50.42,50.42,50.42,50.42,50.42
2015-06-01 00:00:00,nan,26.58,46.47,47.06,73.17,96.59,92.37,45.52,88.68,nan,96.54,34.24,113.61,140.9,33.56,38.48,40.62,23.41,22.49,82.72,103.71,99.51,191.64,38.04,61.42,35.94,29.01,31.45,86.65,47.75,52.59,25.52,82.52,45.38,nan,45.05,35.74,69.07,141.83,64.82,114.68,90.15,nan,10.54,25.16,nan,103.78,26.43,nan,71.19,28.03,48.21,45.19,44.58,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18
2015-06-02 00:00:00,nan,26.59,46.47,46.86,72.91,96.25,92.34,45.5,88.59,nan,96.16,34.2,113.75,141.02,33.48,38.55,40.57,23.39,22.41,82.71,103.79,99.43,191.49,38.53,61.67,35.89,28.98,31.4,86.64,48.18,52.85,25.62,81.38,45.71,nan,45.13,35.66,68.62,142.0,64.22,114.93,90.0,nan,10.57,25.21,nan,103.54,26.56,nan,71.35,28.04,47.72,45.09,44.43,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96
2015-06-03 00:00:00,nan,26.7,46.46,46.55,72.47,96.16,92.33,45.48,88.14,nan,95.79,34.19,114.42,141.75,33.56,38.71,40.75,23.4,22.5,82.93,103.93,99.78,192.03,38.52,61.0,35.89,28.87,31.3,87.1,48.56,53.19,25.73,80.3,46.38,nan,45.4,35.72,68.75,143.95,63.3,115.78,90.27,nan,10.59,25.28,nan,103.92,26.74,nan,71.91,28.0,47.34,45.08,44.36,49.62,49.62,49.62,49.62,49.62,49.62,49.62,49.62,49.62,49.62,49.62,49.62,49.62,49.62,49.62,49.62,49.62,49.62,49.62,49.62,49.62,49.62,49.62
2015-06-04 00:00:00,nan,26.41,46.47,46.54,72.73,96.35,92.36,45.47,87.93,nan,95.99,33.86,113.35,140.5,33.26,38.3,40.37,23.2,22.26,82.11,103.04,98.98,190.48,37.81,60.39,35.76,28.86,31.31,86.4,47.95,52.57,25.48,80.0,46.34,nan,45.06,35.32,68.27,142.67,63.17,113.8,89.72,nan,10.44,25.0,nan,102.95,26.46,nan,71.4,28.02,47.65,45.09,44.32,49.79,49.79,49.79,49.79,49.79,49.79,49.79,49.79,49.79,49.79,49.79,49.79,49.79,49.79,49.79,49.79,49.79,49.79,49.79,49.79,49.79,49.79,49.79
2015-06-05 00:00:00,nan,26.48,46.47,46.49,72.37,96.1,92.35,45.42,87.73,nan,95.57,33.66,113.8,140.89,33.1,38.33,40.35,23.18,22.28,82.1,103.41,98.9,190.06,37.74,60.07,35.54,28.7,31.13,86.02,47.29,51.97,25.22,79.08,46.16,nan,45.29,35.66,68.24,143.92,62.47,113.88,89.23,nan,10.38,24.97,nan,102.91,26.5,nan,71.19,27.97,47.32,44.98,44.23,49.65,49.65,49.65,49.65,49.65,49.65,49.65,49.65,49.65,49.65,49.65,49.65,49.65,49.65,49.65,49.65,49.65,49.65,49.65,49.65,49.65,49.65,49.65
